City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
158,Kodiak,US,57.79,-152.4072,29.71,93,0,6.91,clear sky
159,Bambanglipuro,ID,-7.95,110.2833,79.34,85,100,5.12,light rain
160,Saldanha,ZA,-33.0117,17.9442,66.7,78,91,17.72,overcast clouds
161,Sitka,US,57.0531,-135.33,29.84,79,63,5.01,broken clouds
162,Araouane,ML,18.9048,-3.5265,83.84,13,84,13.82,broken clouds
163,Araceli,PH,10.5529,119.9913,81.23,83,30,21.77,scattered clouds
164,Yaan,NG,7.3833,8.5667,102.04,21,15,1.28,few clouds
165,Flinders,AU,-34.5833,150.8552,72.21,95,82,5.99,light rain
166,Mkushi,ZM,-13.6202,29.3939,68.32,91,99,2.26,light rain
167,Barra Patuca,HN,15.8,-84.2833,79.32,63,20,10.29,few clouds
168,Rio Gallegos,AR,-51.6226,-69.2181,54.46,59,50,9.22,light rain
169,Perth,AU,-31.9333,115.8333,66.67,53,0,8.05,clear sky
170,Marigot,MF,18.0667,-63.0833,82.04,78,40,17.18,scattered clouds
171,Ossora,RU,59.2353,163.0719,19.53,93,100,14.18,light snow
172,Geraldton,AU,-28.7667,114.6,64.81,63,0,16.11,clear sky
173,Kavaratti,IN,10.5669,72.642,82.47,66,17,7.94,few clouds
174,Sao Joao Da Barra,BR,-21.6403,-41.0511,81.81,71,0,10.92,clear sky
175,Praia,CV,14.9215,-23.5087,79.34,61,40,29.93,haze
176,Tuktoyaktuk,CA,69.4541,-133.0374,-6.65,98,71,6.96,broken clouds
177,Ilulissat,GL,69.2167,-51.1,21.22,53,75,10.36,broken clouds
178,Anadyr,RU,64.75,177.4833,-12.64,100,92,4.76,overcast clouds
179,Humaita,BR,-7.5061,-63.0208,87.4,64,100,3.83,overcast clouds
180,Avarua,CK,-21.2078,-159.775,77.05,94,20,4.61,few clouds
181,Saskylakh,RU,71.9167,114.0833,-31.07,100,99,0.22,overcast clouds
182,Honningsvag,NO,70.9821,25.9704,29.08,72,100,29.51,light snow
183,Hilo,US,19.7297,-155.09,73.53,90,13,5.01,few clouds
184,Nanortalik,GL,60.1432,-45.2371,22.8,57,20,7.2,few clouds
185,San Jeronimo,PE,-11.9472,-75.2829,56.73,66,100,4.54,overcast clouds
186,East London,ZA,-33.0153,27.9116,76.19,73,35,8.52,scattered clouds
187,Surin,TH,14.8818,103.4936,86.92,60,3,5.79,clear sky
188,Juegang,CN,32.3174,121.1855,51.91,85,96,9.71,overcast clouds
189,Waingapu,ID,-9.6567,120.2641,79.11,86,2,6.53,clear sky
190,Ponta Delgada,PT,37.7333,-25.6667,61.52,59,20,6.91,few clouds
191,Aden,YE,12.7794,45.0367,78.94,67,7,14.72,clear sky
192,Srednekolymsk,RU,67.45,153.6833,-22.72,100,94,2.64,overcast clouds
193,Kodinsk,RU,58.6881,99.1844,6.37,98,100,2.28,overcast clouds
194,Beberibe,BR,-4.1797,-38.1306,87.84,58,36,11.05,scattered clouds
195,Suez,EG,29.9737,32.5263,65.12,34,8,16.24,clear sky
196,Maltahohe,NA,-24.8333,16.9833,78.35,13,14,20.6,few clouds
197,Fukue,JP,32.6881,128.8419,51.75,47,0,7.61,clear sky
198,Lompoc,US,34.6391,-120.4579,63.12,81,0,11.01,clear sky
199,Japaratuba,BR,-10.5933,-36.9403,89.38,51,67,11.63,moderate rain
200,Progreso,MX,21.2833,-89.6667,79.11,57,1,6.98,clear sky
201,Port-Cartier,CA,50.0334,-66.8654,11.75,67,10,10.33,clear sky
202,Batagay-Alyta,RU,67.8006,130.4114,-9.72,90,100,1.48,overcast clouds
203,Qiqihar,CN,47.3408,123.9672,19.36,86,100,11.9,overcast clouds
204,Kavieng,PG,-2.5744,150.7967,81.73,80,92,8.14,light rain
205,Mazamari,PE,-11.3258,-74.5308,82.89,63,87,2.98,overcast clouds
206,Zyryanka,RU,65.75,150.85,-21.46,100,100,0.81,overcast clouds
207,Portmore,JM,17.9702,-76.8672,89.06,62,20,10.36,few clouds
208,Tateyama,JP,34.9833,139.8667,47.1,54,25,12.95,scattered clouds
209,Izhma,RU,65.0083,53.9113,12.83,96,100,6.78,overcast clouds
210,Alofi,NU,-19.0595,-169.9187,81.55,77,91,10.56,overcast clouds
