City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
199,Japaratuba,BR,89.38,moderate rain,-10.5933,-36.9403,Pousada Japaratuba
200,Progreso,MX,79.11,clear sky,21.2833,-89.6667,Playa Linda Hotel
204,Kavieng,PG,81.73,light rain,-2.5744,150.7967,Nusa Island Retreat
205,Mazamari,PE,82.89,overcast clouds,-11.3258,-74.5308,Hospedaje Ratto
207,Portmore,JM,89.06,few clouds,17.9702,-76.8672,Salmon Way Inn
208,Tateyama,JP,47.1,scattered clouds,34.9833,139.8667,Tateyama Seaside Hotel
210,Alofi,NU,81.55,overcast clouds,-19.0595,-169.9187,Taloa Heights
211,North Bend,US,45.95,overcast clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
212,Lagoa,PT,58.06,overcast clouds,39.05,-27.9833,Casa Das Faias
213,Souillac,MU,81.36,moderate rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
215,Kirakira,SB,80.69,overcast clouds,-10.4544,161.9205,SanBiz Lodge
216,Bilma,NE,92.19,broken clouds,18.6853,12.9164,Expeditions Ténére voyages
218,Lamu,KE,80.82,broken clouds,-2.2717,40.902,Lamu House
219,Kanzaki,JP,41.97,clear sky,33.3,130.3667,ホテル 和幸
220,Port Hueneme,US,62.87,mist,34.1478,-119.1951,Hampton Inn Channel Islands Harbor
221,Tuatapere,NZ,58.82,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
223,Camacha,PT,64.53,light intensity drizzle,33.0833,-16.3333,Hotel Porto Santo & Spa
224,Bengkulu,ID,75.38,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
226,Alice Springs,AU,87.35,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
227,Roald,NO,42.94,clear sky,62.5833,6.1333,Flem Cabins
228,Santana,BR,86.47,broken clouds,-0.0583,-51.1817,Porto Santana
229,Touros,BR,90.5,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
230,Lata,PT,55.92,few clouds,40.1629,-8.3327,Casa Maquia
232,Biak,ID,77.43,overcast clouds,-0.9131,122.8766,Penginapan Kim
233,Kunigal,IN,73.02,overcast clouds,13.0222,77.0267,New Durga lodge
235,Gamboma,CG,89.85,broken clouds,-1.8764,15.8644,Residence N'Keni
237,Greer,US,76.33,clear sky,34.9387,-82.2271,"Quality Inn Greer, SC"
238,Natal,BR,90.25,light rain,-5.795,-35.2094,Villa Park Hotel | Natal
