City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
173,Jacarau,BR,2022-02-27 16:42:36,-6.6122,-35.2928,91.31,40,84,17.31
174,Arman,RU,2022-02-27 16:42:37,59.7,150.1667,-6.99,85,41,8.68
175,Dunedin,NZ,2022-02-27 16:42:37,-45.8742,170.5036,50.81,70,37,1.01
176,Nuevo Ideal,MX,2022-02-27 16:42:37,24.8875,-105.0728,66.97,19,69,2.98
177,Howard Springs,AU,2022-02-27 16:42:38,-12.497,131.047,76.73,92,92,5.57
178,Diego De Almagro,CL,2022-02-27 16:42:38,-26.3667,-70.05,80.04,25,2,10.27
179,Leningradskiy,RU,2022-02-27 16:42:38,69.3833,178.4167,13.35,97,99,3.18
180,Yoichi,JP,2022-02-27 16:43:38,43.2039,140.7703,33.06,61,100,22.79
181,Souillac,MU,2022-02-27 16:37:45,-20.5167,57.5167,77.68,86,28,6.29
182,Geraldton,AU,2022-02-27 16:43:39,-28.7667,114.6,72.48,88,0,11.07
183,Santa Marta,CO,2022-02-27 16:39:03,11.2408,-74.199,83.48,67,14,13.96
184,Shelopugino,RU,2022-02-27 16:43:39,51.6514,117.5599,-0.18,96,60,4.97
185,Caravelas,BR,2022-02-27 16:43:39,-17.7125,-39.2481,85.23,49,65,8.34
186,Ghugus,IN,2022-02-27 16:43:40,19.9333,79.1333,80.24,26,3,7.07
187,Eugene,US,2022-02-27 16:39:31,44.0521,-123.0867,46.63,95,100,3.38
188,Coahuayana,MX,2022-02-27 16:43:40,18.7333,-103.6833,86.79,42,3,5.88
189,Victoria,HK,2022-02-27 16:38:57,22.2855,114.1577,65.7,84,95,12.77
190,Burnie,AU,2022-02-27 16:43:40,-41.0667,145.9167,61.39,87,100,10.18
191,Faanui,PF,2022-02-27 16:37:48,-16.4833,-151.75,81.75,75,71,19.69
192,Upernavik,GL,2022-02-27 16:43:40,72.7868,-56.1549,-11.42,96,87,1.66
193,Magadan,RU,2022-02-27 16:43:41,59.5667,150.8,-7.47,83,33,7.25
194,Kaitangata,NZ,2022-02-27 16:43:41,-46.2817,169.8464,42.28,92,61,3.38
195,Lyndon,US,2022-02-27 16:43:41,38.2567,-85.6016,43.9,34,6,4.52
196,Port Hedland,AU,2022-02-27 16:43:42,-20.3167,118.5667,86.05,84,84,10.36
197,Gao,ML,2022-02-27 16:41:56,16.6362,1.637,93.24,3,10,15.01
198,Shimoda,JP,2022-02-27 16:43:42,34.6667,138.95,44.44,67,0,11.77
199,Cairns,AU,2022-02-27 16:43:42,-16.9167,145.7667,80.55,83,40,1.14
200,Jiwani,PK,2022-02-27 16:43:42,25.05,61.7417,73.2,79,2,8.99
201,Jodhpur,IN,2022-02-27 16:43:43,26.2867,73.03,69.8,28,0,14.61
202,Port-Gentil,GA,2022-02-27 16:43:43,-0.7193,8.7815,83.32,74,72,8.77
203,Kahului,US,2022-02-27 16:43:43,20.8947,-156.47,72.43,75,64,4.25
204,Barrow,US,2022-02-27 16:43:44,71.2906,-156.7887,-0.38,78,0,13.8
205,Teya,RU,2022-02-27 16:43:44,60.3778,92.6267,21.61,92,100,11.61
206,Morant Bay,JM,2022-02-27 16:43:44,17.8815,-76.4093,83.82,64,6,7.38
207,Dicabisagan,PH,2022-02-27 16:43:44,17.0818,122.4157,75.15,88,88,8.08
208,Cao Bang,VN,2022-02-27 16:40:46,22.6667,106.25,57.78,96,5,1.83
209,Sao Filipe,CV,2022-02-27 16:43:45,14.8961,-24.4956,70.45,65,0,16.15
210,Riyadh,SA,2022-02-27 16:43:45,24.6877,46.7219,69.03,22,0,10.09
211,Lagos,NG,2022-02-27 16:41:58,6.5833,3.75,80.92,68,42,7.36
212,Rawson,AR,2022-02-27 16:43:45,-43.3002,-65.1023,68.49,27,81,41.92
213,Chabahar,IR,2022-02-27 16:39:41,25.2919,60.643,73.04,83,16,9.57
214,Ribeira Grande,PT,2022-02-27 16:43:46,38.5167,-28.7,63.0,88,75,23.02
215,Alihe,CN,2022-02-27 16:43:46,50.5667,123.7167,0.07,98,18,3.0
216,Bairiki,KI,2022-02-27 16:43:46,1.3292,172.9752,80.78,83,71,21.25
217,Avarua,CK,2022-02-27 16:43:46,-21.2078,-159.775,77.05,94,100,5.75
218,Brae,GB,2022-02-27 16:43:47,60.3964,-1.353,44.51,81,98,26.8
219,Ippy,CF,2022-02-27 16:43:47,6.2679,21.2247,90.23,12,17,3.31
220,Santa Rosalia,MX,2022-02-27 16:43:47,27.3167,-112.2833,64.51,27,59,8.12
221,San Patricio,US,2022-02-27 16:43:47,28.017,-97.5169,43.95,75,100,12.37
222,Port Augusta,AU,2022-02-27 16:43:48,-32.5,137.7667,68.2,74,44,10.36
223,Ukmerge,LT,2022-02-27 16:43:48,55.25,24.75,29.43,60,0,6.15
224,Valkeakoski,FI,2022-02-27 16:44:48,61.2642,24.0312,29.32,91,63,8.9
225,Hovd,MN,2022-02-27 16:44:48,48.0056,91.6419,4.12,61,0,8.66
226,Linhares,BR,2022-02-27 16:44:49,-19.3911,-40.0722,84.69,63,50,6.04
227,Tabou,CI,2022-02-27 16:44:49,4.423,-7.3528,83.03,72,71,10.07
228,Hare Bay,CA,2022-02-27 16:44:49,48.8499,-54.0148,24.19,49,100,12.73
229,Dzilam Gonzalez,MX,2022-02-27 16:44:50,21.2833,-88.9333,85.6,42,0,4.85
230,Timbiqui,CO,2022-02-27 16:44:50,2.7717,-77.6654,74.98,95,100,4.52
231,Gigmoto,PH,2022-02-27 16:44:50,13.7796,124.39,78.24,83,76,16.35
232,Mount Gambier,AU,2022-02-27 16:44:50,-37.8333,140.7667,59.25,97,17,4.83
233,Richards Bay,ZA,2022-02-27 16:44:51,-28.783,32.0377,71.55,88,53,4.23
234,Severnyy,RU,2022-02-27 16:44:51,50.677,36.5532,29.28,79,91,13.44
235,Beringovskiy,RU,2022-02-27 16:44:51,63.05,179.3167,16.79,95,99,5.21
236,Westport,US,2022-02-27 16:44:52,41.1415,-73.3579,40.82,36,0,16.04
237,Padang,ID,2022-02-27 16:44:52,-0.9492,100.3543,78.39,86,100,5.01
238,Peace River,CA,2022-02-27 16:44:22,56.2501,-117.286,11.66,90,100,14.97
239,Vila Franca Do Campo,PT,2022-02-27 16:44:52,37.7167,-25.4333,63.52,83,98,17.4
240,Redmond,US,2022-02-27 16:44:22,47.674,-122.1215,47.16,92,100,10.92
241,Los Llanos De Aridane,ES,2022-02-27 16:44:52,28.6585,-17.9182,63.12,68,40,19.57
242,Japura,ID,2022-02-27 16:44:53,-0.3167,102.35,73.83,97,96,2.15
243,Arrecife,ES,2022-02-27 16:44:53,28.963,-13.5477,63.82,69,18,28.9
244,Manono,CD,2022-02-27 16:44:53,-7.3,27.4167,71.78,89,98,3.47
245,Kirakira,SB,2022-02-27 16:44:54,-10.4544,161.9205,79.47,87,100,12.62
246,Mildura,AU,2022-02-27 16:44:12,-34.2,142.15,73.06,55,100,13.27
247,Yar-Sale,RU,2022-02-27 16:44:54,66.8333,70.8333,-0.8,87,6,10.8
248,Haines Junction,CA,2022-02-27 16:44:54,60.7522,-137.5108,20.53,97,100,0.38
249,Olga,RU,2022-02-27 16:44:54,43.7444,135.2892,25.61,59,24,10.74
250,Manokwari,ID,2022-02-27 16:44:55,-0.8667,134.0833,77.2,82,100,3.2
